crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
AGC,optimized,correlated,100,33,50,3,-10.776041107164414,1904.0,-10.63086,-11.18209
AGC,optimized,correlated,100,33,50,4,-11.823881653582657,1330.0,-11.17701,-12.58649
AGC,optimized,correlated,100,33,50,5,-10.239196695841091,1295.0,-10.09206,-11.52265
AGC,optimized,correlated,150,50,75,1,-9.24321937847932,295.0,-9.118338,-10.76437
AGC,optimized,correlated,150,50,75,2,-8.35553280866055,1117.0,-8.319407,-8.760414
AGC,optimized,correlated,150,50,75,3,-9.268293583207976,1946.0,-9.107533,-9.737283
AGC,optimized,correlated,150,50,75,4,-9.982329842586024,3143.0,-9.529105,-11.51863
AGC,optimized,correlated,150,50,75,5,-8.344703800082655,1372.0,-8.281161,-8.702312
AGC,optimized,correlated,200,66,100,1,-9.656520338474019,3056.0,-9.349934,-10.40511
AGC,optimized,correlated,200,66,100,2,-9.722203494912469,883.0,-9.401429,-10.9587
AGC,optimized,correlated,200,66,100,3,-9.785177828301899,1279.0,-9.38917,-10.56997
AGC,optimized,correlated,200,66,100,4,-8.566021420255845,1168.0,-8.39825,-9.059644
AGC,optimized,correlated,200,66,100,5,-10.221349167596255,1258.0,-9.642498,-11.7064
AGC,optimized,independent,80,26,40,1,-3.5145360625040234,2878.0,-3.33392,-5.307059
AGC,optimized,independent,80,26,40,2,-2.7708108217936918,3441.0,-2.736808,-4.463447
AGC,optimized,independent,80,26,40,3,-4.061448700935722,3319.0,-3.672487,-5.415927
AGC,optimized,independent,80,26,40,4,-4.067834179171694,3375.0,-3.626641,-5.130669
AGC,optimized,independent,80,26,40,5,-3.887785508827876,3527.0,-3.435063,-4.592331
AGC,optimized,independent,100,33,50,1,-1.8040630808305498,3882.0,-1.800317,-3.42227
AGC,optimized,independent,100,33,50,2,-3.393410247215548,3353.0,-3.121416,-4.810267
AGC,optimized,independent,100,33,50,3,-3.488000792774736,4112.0,-3.226373,-4.764603
AGC,optimized,independent,100,33,50,4,-3.739257105953452,2351.0,-3.33904,-4.409177
AGC,optimized,independent,100,33,50,5,-3.1224471515734344,2783.0,-3.018275,-3.407498
AGC,optimized,independent,150,50,75,1,-2.891355057219232,4092.0,-2.721084,-4.17124
AGC,optimized,independent,150,50,75,2,-3.349884186544121,3026.0,-2.891603,-4.628157
AGC,optimized,independent,150,50,75,3,-3.2799455389871186,3601.0,-2.953573,-4.341761
AGC,optimized,independent,150,50,75,4,-3.227205160112052,3602.0,-2.801531,-4.101799
AGC,optimized,independent,150,50,75,5,-2.435610069059827,3549.0,-2.390069,-4.051568
AGC,optimized,independent,200,66,100,1,-2.82022288809972,3699.0,-2.489971,-3.70656
AGC,optimized,independent,200,66,100,2,-2.4729894477122376,2595.0,-2.399633,-3.878213
AGC,optimized,independent,200,66,100,3,-2.444003503779145,3311.0,-2.364929,-3.869374
AGC,optimized,independent,200,66,100,4,-2.439988379002588,13064.0,-2.378445,-4.669494
AGC,optimized,independent,200,66,100,5,-3.087547071307098,4074.0,-2.731979,-4.17445
